Cim,Szerzo,Megjegyzes
"Moldva, Csángóföld, csángó sors",Hajdú-Moharos József,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 11-ik könyv
Erdély közigazgatási és etnikai földrajza,Vofkori László,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 12-ik könyv
Útkereso ország (Füldrajzi tanulmányok Romániáról),Névtelen,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 13-ik könyv
Önkormányzati vállalatvezetés,Balázs Sándor,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 14-ik könyv
Görbe fából nem lesz egyenes,Fábián Erno,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 15-ik könyv
Maros megyei magyarság történetébol 2,Névtelen,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 16-ik könyv
Földre írt történelem,Bözödi György,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 17-ik könyv
"REGIO, Kisebbség,  Közösség, Társadalom 1998/1-2-3",Névtelen,"Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 18 19 és 20-ik könyv"""
Mic dic?onar explicativ,dr. Ileana Constantinescu,Hálószóba/ 4-es szekrény/ 4-ik polc hátul/ 2-ik könyv
Régiófejlesztés és regionális kutatás,Szász-Alpár Zoltán,"""Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 21 es 22-ik könyv"""
Dezvoltare ?i cercetare regionala,Szász-Alpár Zoltán,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 23-ik könyv
Locul de adeverire din Alba-Iulia (sec. 13-14),Vekov Károly,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 24-ik könyv
A rapid course in english for students of economics,Tom McArthur,"""Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 25, 26, 27 es 28-ik könyv"""
Capitalismul contemporan ?i categoriile economice,Tudorel Postolache,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 29-ik könyv
Protagoni?ti al Vie?ii Publice,Névtelen,Hálószóba/ 4-es szekrény/ 4-ik polc hátul/ 3-ik könyv
Sisteme în ?tiin?ele sociale,Mircea Mali?a,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 30-ik könyv
Finan?e publice,Iulian Vacarel,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 31-ik könyv
Bazele conducerii întreprinderii,Ioan Mihu?,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 32-ik könyv
Szövetkezeti erdogazdálkodás,Balázs István,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 33-ik könyv
Ünnepi könyv EMT Sepsiszentgyörgy 2000,Névtelen,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 34-ik könyv
Teológiai tanulmányok,Dr. Erdo János,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 35-ik könyv
40 éves a segesvári magyar líceumi oktatás,Névtelen,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 36-ik könyv
"""Ghid alfabetic, Teorie ?i practica financiara""",Aurel Ioan Giurgiu,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 37-ik könyv
În cautarea optimului,Alexandru Isaic-Maniu,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 38-ik könyv
Reflec?ii religioase asupra cunoa?terii,Petre ?u?ea,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 39-ik könyv
Modele de politici sociale,Liliana Mihu?,Hálószóba/ 4-es szekrény/ 4-ik polc hátul/ 4-ik könyv
Strategii în conducerea activita?ii întreprinderii,Costel Florescu,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 40-ik könyv
Finan?elor statelor capitaliste,Nicolae Glaja,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 41-ik könyv
Dialoguru cu Vartan Arachelian,Corneliu Coposu,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 42-ik könyv
Culegerea de probleme de matematici,Cezar Co?ni?a,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 43-ik könyv
O teologie cre?tina a sexualita?ii,Adrian Thatcher,Hálószóba/ 4-es szekrény/ 4-ik polc hátul/ 5-ik könyv
Pulsul istoriei în Europa Centrala,Vasile Pu?ca?,Hálószóba/ 4-es szekrény/ 4-ik polc hátul/ 6-ik könyv
Regiligia contra ideologilor socialiste,Henry de Lesquen,Hálószóba/ 4-es szekrény/ 4-ik polc hátul/ 7-ik könyv
Istoria ideilor sociologice vol. 1,Michel Lallement,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 8-ik könyv
Istoria Ungariei,Gergely András,Hálószóba/ 4-ik szekrény/ 4-ik polc hátul/ 9-ik könyv
A világgazdaságtan elméleti és metodologiai alapjai,Szentes Tamás,Hálószoba/ 4-es szekrény/ 4-es polc/ elso könyv
Magyar szinonima szótár,Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 11-ik könyv
"""Dictionar francez-roman, roman- francez""",Gheorghiana Hane?,Hálószoba/ 4-es szekrény/ 4-es polc/ 12-ik könyv
Gramatica practica a limbii franceze,Marcel Sara? ?i Mihai ?tefanescu,Hálószoba/ 4-es szekrény/ 4-es polc/ 13-ik könyv
Engleza fara profesor,Dan Du?escu,Hálószoba/ 4-es szekrény/ 4-es polc/ 14 és 15-ik könyv
Francia feladatgyutemény a középfokú nyelvvizsgához,Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 16-ik könyv
Mikroökonómiai kislexikon,Vorzsák Magdolna és Kovács Licinui Alexandru,Hálószoba/ 4-es szekrény/ 4-es polc/ 17-ik könyv
Numerikus és közelíto módszerek az atomfizikában,Nagy László,Hálószoba/ 4-es szekrény/ 4-es polc/ 18-ik könyv
Muszaki szaktanulmányok,Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 19-ik könyv
Secolul cinematografului,Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 2-dik könyv
Színházi szebkönyvek és szerepük a régió színházi kultúr...,Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 20-ik könyv
"""Képátvitelek, tanulmányok az intermedialitás tárgykörébol""",Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 21-ik könyv
"""A Kárpát-medence régiói, Székelyföld""",Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 22-ik könyv
Curs de engleza,Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 23-ik könyv
Mica enciclopedie de istorie universala,Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 3-dik könyv
"""Közgazdaságtan, I. Alapfogalmak és makroökonómia""",Paul A. Samuelson és William D. Nordhaus,Hálószoba/ 4-es szekrény/ 4-es polc/ 3-ik könyv
Gorbacsov,Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 4-dik könyv
"""Közgazdaságtan, II. Mikroökonómia""",Paul A. Samuelson és William D. Nordhaus,Hálószoba/ 4-es szekrény/ 4-es polc/ 4-ik könyv
A hiány (I. Alkalmazkodás árak nélkül),Kornai János,Hálószoba/ 4-es szekrény/ 4-es polc/ 5-ik könyv
A hiány (II. Alkalmazkodás árak jelenlétében),Kornai János,Hálószoba/ 4-es szekrény/ 4-es polc/ 6-ik könyv
Bevezetés a matematikai közgazdaságtanba,Zalai Erno,Hálószoba/ 4-es szekrény/ 4-es polc/ 7-ik könyv
Mikroökonómia (6. kiadás),Kopányi - Petró - Vági,Hálószoba/ 4-es szekrény/ 4-es polc/ 8-ik könyv
"""Magyar értelmezo kéziszótár (A-K, L-Z)""",Névtelen,Hálószoba/ 4-es szekrény/ 4-es polc/ 9 és 10-ik könyv
Történelem I,Bellér Béla,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ elso könyv
Istoria Europei,Jean Carpentier,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 11-ik könyv
Parlamentul României,Névtelen,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 12-ik könyv
Europa moderna,Camil Mure?anu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 13-ik könyv
Progresul tehnic ?i reducerea cheltuielilor materiale,Marcu Horovitz,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 14-ik könyv
Bursa vol. I,Ioan Popa,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 15-ik könyv
Echilibrul economic ?i moneda,Daniel Dâianu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 16-ik könyv
Economie politica vol. I,UBB Cluj Facultatea de ?tii?e economice,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 17-ik könyv
Economie politica vol. II,UBB Cluj Facultatea de ?tii?e economice,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 18-ik könyv
Lucrari aplicative de statistica,Angela Popescu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 19-ik könyv
Történelem II,Bellér Béla,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 2-ik könyv
Valorile cooperatiste într-o lume în schimbare,Sven Ake Book,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 20-ik könyv
Fehér könyv az 1944. oszi magyarellenes atrocitásokról,RMDSZ,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 21-ik könyv
Magyarok 1990/2,Névtelen,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 22-ik könyv
Vasárnap évkönyve 1999,Névtelen,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 23-ik könyv
Metode de decizii multicriteriale,Névtelen,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 24-ik könyv
Statistica matematica ?i cercetari opera?ionale,"""George Ciucu, Anton ?tefanescu""",Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 25-ik könyv
"""Etape, de la economia centralizata la economia de ”pia?a”""",Marius Halmaghi,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 26-ik könyv
Economiile na?ionale,George Badrus,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 27-ik könyv
Teoria critica ?i capitalismul contemporan,Ileana Ioanid,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 28-ik könyv
"""Korszeruség, hatékonyság Románia szocialista mezogazdaságába""",Péter György,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 29-ik könyv
Economia mondiala în cifre (iunie 1991 ),Comisia na?ionala pt. Statistica,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 3-ik könyv
Probleme de matematica pt. Treapta a II-a de liceu,D. M. Batine?u,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 30-ik könyv
Hogyan érthetné meg a Nyugat jobban a Közep- és Kelet-Európa,Névtelen,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 31-ik könyv
Népszámlálások a jelenkori Erdély területén,Varga E. Árpád,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 32-ik könyv
Coordonate ale perfec?ionarii contabilita?ii,Mircea Boulescu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 33-ik könyv
Spre economia de pia?a,Niculae Gh. Niculeascu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 34-ik könyv
Vinci fe?e ale modernita?ii,Matei Calinescu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 35-ik könyv
Control financiar ?i expertiza contabila,Mircea Boulescu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 36-ik könyv
Acordul general pentru tarife ?i comer?,Victor Aldea,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 37-ik könyv
Autoconducere ?i creativitate,Ioan Mihu?,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 38-ik könyv
"""Aprovizionarea tehnico-materiala, regimul juridic""",Vasile Stanescu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 39-ik könyv
"""Pro memoria, ac?iunea catolicismului în România interbelica""",Valeriu Anania,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 4-ik könyv
Modernizarea conducerii unita?ilor economice,Ovidiu Niculescu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 40-ik könyv
Investi?iile ?i cre?terea econimica,Eugen Topala,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 41-ik könyv
Didactica moderna,Miron Ionescu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 42-ik könyv
Dosarul colectivizarii agriculturii în România 1949-1962,Camera deputa?ilor,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 5-ik könyv
Cadrul legislativ ?i institu?ional pt. Minorita?ile na?...,Guvernul României,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 6-ik könyv
Continuitatea Daco-Romanilor în istoriografia româna ?i ...,N. Stoicescu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 7-ik könyv
Religia în lumea contemporana,Petru Berar,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 8-ik könyv
Noaptea totalitara,Vladimir Tismaneanu,Hálószóba/ 4-es szekrény/ 5-ik polc hátul/ 9-ik könyv
Economie politica,Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ elso könyv
A világgazdaság rövid története a kokorszaktól napjainkig,Rondo Cameron,Hálószoba/ 4-es szekrény/ 5-ös polc/ elso könyv
Makroökonómia feladatok,Bock Gyula,Hálószoba/ 4-es szekrény/ 5-ös polc/ 10-ik könyv
"""Magyar kisebbség 1922-1942, Repertórium""",Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 11-ik könyv
Útkeresok,Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 12-ik könyv
Jönnek? Mennek? Maradnak?,Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 13-ik könyv
"""Új könyvmuhely, 5 éves a Pallas-Akadémia könyvkiadó""",Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 14-ik könyv
A kisebbségek nemzetközi védelme,Balogh Arthúr,Hálószoba/ 4-es szekrény/ 5-ös polc/ 15-ik könyv
"""Kisebbségkutatás, szemle a hazai és külföldi irodalomból""",Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 16-ik könyv
Chestiunea Dunarii,Nicolae Iorga,Hálószoba/ 4-es szekrény/ 5-ös polc/ 17-ik könyv
EMTE az elso tíz év,Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 18-ik könyv
Gazdaságpolitika,Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 19-ik könyv
Európa gazdasága a 19. században,Berend T. Iván- Ránki György,Hálószoba/ 4-es szekrény/ 5-ös polc/ 2-ik könyv
A korai közgazdaságtan története,Mátyás Antal,Hálószoba/ 4-es szekrény/ 5-ös polc/ 20-ik könyv
Közgazdaságról közérthetoen,Robert Heilbroner és Lester Thurow,Hálószoba/ 4-es szekrény/ 5-ös polc/ 21-ik könyv
Az európai integráció gazdaságtana,Palánkai Tibor,Hálószoba/ 4-es szekrény/ 5-ös polc/ 22-ik könyv
Mikroökonómiai pédatár és feladatgyujtemény,Kopányi - Petró - Vági,Hálószoba/ 4-es szekrény/ 5-ös polc/ 23-ik könyv
Tehnologie si merceologie industriala,Fazakas József,Hálószoba/ 4-es szekrény/ 5-ös polc/ 24-ik könyv
Filozofia stiintei economice,Daniel M. Hausman,Hálószoba/ 4-es szekrény/ 5-ös polc/ 25-ik könyv
Capitalism si libertate,Milton Friedman,Hálószoba/ 4-es szekrény/ 5-ös polc/ 26-ik könyv
Integrarea economica regionala,Prof. Dr. Dumitru Miron,Hálószoba/ 4-es szekrény/ 5-ös polc/ 27-ik könyv
Economia turismului,"""Oscar Snak, Petre Baron, Nicolae Neacsu""",Hálószoba/ 4-es szekrény/ 5-ös polc/ 28-ik könyv
Economia: regulile jocului,Michel Didier,Hálószoba/ 4-es szekrény/ 5-ös polc/ 29-ik könyv
Culegere de probleme matematici,T. Dumitrescu,Hálószoba/ 4-es szekrény/ 5-ös polc/ 3-dik könyv
Enciclopedia de istorie a României,Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 3-ik könyv
A modern közgazdaságtan ismerettára,David W. Pearce,Hálószoba/ 4-es szekrény/ 5-ös polc/ 4-ik könyv
"""Régiók felemelkedése és hanyatlása, a Brit-szigeteken""",Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 5-ik könyv
A nagyhatalmak tündöklése és bukása,Paul Kenedy,Hálószoba/ 4-es szekrény/ 5-ös polc/ 6-ik könyv
Magyarország gazdaságtöténete a honfoglalástól a 20. szig,Névtelen,Hálószoba/ 4-es szekrény/ 5-ös polc/ 7-ik könyv
Új utak a közigazgatásban,David Osborne és Ted Gaebler,Hálószoba/ 4-es szekrény/ 5-ös polc/ 8-ik könyv
Útmutató a makroökonómiához,Simon András,Hálószoba/ 4-es szekrény/ 5-ös polc/ 9-ik könyv
"""Kis pénz, kis foci !?""",Garai László,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ elso könyv
Românii în secolul al XIII-lea (între cruciata ?i imperiul m,?erban Papacostea,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 10-ik könyv
"""Revista româna de drepturile omului (ian, feb, mar 1996)""",Névtelen,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 11-ik könyv
Accesul la informa?ie în România,Gabriel Andreescu,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 12-ik könyv
Rolul formarii profesionale în reforma administra?iei public,Georgeta Ghe?e,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 13-ik könyv
Integrarea economica europeana vol. II,Maria Bîrsan,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 14-ik könyv
"""Curs rapid, Microsoft Excel 97""",Névtelen,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 15-ik könyv
Managementul în comer?ul interna?ional,Dr. Alexandru Puiu,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 16-ik könyv
Viitorul indrustriei de programe,Mihai Draganescu,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 17-ik könyv
Productivitatea muncii în contruc?ii,Valentin Co?eru,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 18-ik könyv
Economia industriei,Dumitru Mare?,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 19-ik könyv
HVG portrék,Horváth Zoltán,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 2-ik könyv
Bazele contabilita?ii,Gheorghe Enache,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 20-ik könyv
Statistica ramurilor neindrustriale,Mircea Bulgaru,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 21-ik könyv
Tudománypolitika az ezredforduló Magyarországán,Glatz Ferenc,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 22-ik könyv
Székely kongresszus,Névtelen,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 23-ik könyv
A kulturális térségek szerepe a regionális fejlesztésbe,Névtelen,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 24-ik könyv
Economie politica vol. 1,Vasile C. Nechita,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 25-ik könyv
Econimie politica vol. 2,Vasile C. Nechita,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 26-ik könyv
Statistica industriala,Constantin ?tefan,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 27-ik könyv
Culegere de pronleme pentru concursurile de matematica,D. Acu,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 28-ik könyv
"""Az alapviszonyok reformja, avagy a halfej és az értelmiség""",Csanády András,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 3-ik könyv
Contabilitate ?i mecanizarea lucrarilor de eviden?a ?i calcu,Gra?iela Babe,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 30-ik könyv
Értékelemzés- racionalizálás,Dr. Iványi Attila Szilárd,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 31-ik könyv
Módszertani gyujtemény a vezetés és szervezés tárgyhoz I.,Dr. Antal Mokos Zoltán,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 32-ik könyv
"""Az EU csatlakozás agrárgazdasági kilátásai, elonyök és hátrá""",Varga Gyula,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 33-ik könyv
A bankrendszer jövoje (felmérés alapján 2000),Zsámboki Balázs,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 34-ik könyv
Társadalom és gazdaság közép- és kelet-Európában 2001/3-4,Chikán Atiila,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 36-ik könyv
Részünk és jogunk,Barabás Zoltán,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 37-ik könyv
Alkalmazott makroökonómia,Mellár Tamás,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 38 és 39-ik könyv
A privatizációs lízingtechnika kézikönyve,Dr. Juhász Imre,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 4-ik könyv
"""Menedzsment koncepciók, menedzsment módszerek""",Hoványi Gábor,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 40-ik könyv
Makroükonómiai példatár és feladatgyujtemény,Bocskay - Gacsályi,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 41-ik könyv
Makroökonomia,Solt Katalin,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 42-ik könyv
"""Közgazdaságtan I., Mikroókonómia""",Kopányi - Petró - Vági,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 43-ik könyv
Drepturi ale persoanelor apar?inând minorita?ilor na?ionale,Névtelen,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 6-ik könyv
Vagyonértékelés és vagyongazdálkodás az önkormányzatoknál,Pitti Zoltán,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 7-ik könyv
"""Fordulat és folytonosság, jelentés a magyar gazdaság 1994. é""",Petschnig Mária Zita,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 8-ik könyv
"""Piac, adagolás, hiány""",Simon András,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 9-ik könyv
Aproape toate despre fotbal,Chiriac Mausaride,Hálószoba/ 4-es szekrény/ 6-os polc/ elso könyv
Garp szerint a világ,John Irving,Hálószoba/ 4-es szekrény/ 6-os polc/ elso könyv
Lumea in viziunea lui Peter Drucker,Jack Beatty,Hálószoba/ 4-es szekrény/ 6-os polc/ 10-ik könyv
Musée de l Ermitage,Névtelen,Hálószoba/ 4-es szekrény/ 6-os polc/ 11-dik könyv
Al doilea razboi mondial,Winston Churchill,Hálószoba/ 4-es szekrény/ 6-os polc/ 11 és 12-ik könyv
Tokés társaságok világuralma,David C. Korten,Gyerekszoba/ 4-es szekrény/ 1-es polc/ 13 és 14-dik könyv
Képes diákszótár,Névtelen,Hálószoba/ 4-es szekrény/ 6-os polc/ 14-dik könyv
Teoria lui Rösler,A. D. Xenopol,Hálószoba/ 4-es szekrény/ 6-os polc/ 15-ik könyv
Istoria romanilor de la origin pana in zilele noastre,Vlad Georgescu,Hálószoba/ 4-es szekrény/ 6-os polc/ 16-ik könyv
Istoria Europei,Serge Berstein és Pierre Milza,Hálószoba/ 4-es szekrény/ 6-os polc/ 17-21-ik könyv
Informatica,Névtelen,Hálószoba/ 4-es szekrény/ 6-os polc/ 2-dik könyv
Egy kortérs emlékei,John Kenneth Galbraith,Hálószoba/ 4-es szekrény/ 6-os polc/ 2-ik könyv
Szól a kakas már,Palotás Pál,Hálószoba/ 4-es szekrény/ 6-os polc/ 22-dik könyv
Bábel toronyháza,Bálint Tibor,Hálószoba/ 4-es szekrény/ 6-os polc/ 23-ik könyv
Statyistica pentru faceri,"""Maria Badita, Tudor Baron, Mihai Korka""",Hálószoba/ 4-es szekrény/ 6-os polc/ 25-ik könyv
"""Anul 2000, Megatendinte""","""John Naisbitt, Patricia Aburdene""",Hálószoba/ 4-es szekrény/ 6-os polc/ 26-ik könyv
Sondajele de opinie,Névtelen,Hálószoba/ 4-es szekrény/ 6-os polc/ 27-ik könyv
"""Marketing, Crestomatie de termeni si concepte""",Ana-Lucia Ristea,Hálószoba/ 4-es szekrény/ 6-os polc/ 28-ik könyv
"""Economie politica, findamentele de teorie economica""",Eugen Prahoveanu,Hálószoba/ 4-es szekrény/ 6-os polc/ 29-ik könyv
Bevezetés a matematikai közigazgatástanba,Névtelen,Hálószoba/ 4-es szekrény/ 6-os polc/ 3-dik könyv
Látóhegyi töprengések,Cseke Péter,Hálószoba/ 4-es szekrény/ 6-os polc/ 3-ik könyv
Mondializarea dincolo de mituri,Serge Cordellier,Hálószoba/ 4-es szekrény/ 6-os polc/ 30-ik könyv
Istoria gandirii economice,Dan Popescu,Hálószoba/ 4-es szekrény/ 6-os polc/ 31-ik könyv
Költeményei,Mihai Eminescu,Hálószoba/ 4-es szekrény/ 6-os polc/ 32-ik könyv
Hermeneutikai és alkalmazott filozófiai vizsgálódások,Névtelen,Hálószoba/ 4-es szekrény/ 6-os polc/ 33-ik könyv
Socienty and economy in central and eastern europe 1994/4,Palánkai Tibor,Hálószóba/ 4-es szekrény/ 6-ik polc hátul/ 35-ik könyv
"""Emberek, lakások lakói""",Majtényi Erik,Hálószoba/ 4-es szekrény/ 6-os polc/ 4-ik könyv
Közgazdasági kislexikon,Névtelen,Hálószoba/ 4-es szekrény/ 6-os polc/ 5-dik könyv
A Gulág szigetcsoport,Alekszander Szolzsenyicin,Hálószoba/ 4-es szekrény/ 6-os polc/ 5 és 6-ik könyv
Memorii,Mihail Gorbacsov,Hálószoba/ 4-es szekrény/ 6-os polc/ 7-ik könyv
Gramatica practica a limbii franceza,Marcel Sarves,Hálószoba/ 4-es szekrény/ 6-os polc/ 8-dik könyv
Gorbacsov,Zsoresz Medvegyev,Hálószoba/ 4-es szekrény/ 6-os polc/ 8-ik könyv
Dic?ionar Francez-Român,Névtelen,Hálószoba/ 4-es szekrény/ 6-os polc/ 9-dik könyv
Szemben az árral,Borisz Jelcin,Hálószoba/ 4-es szekrény/ 6-os polc/ 9-ik könyv
Tabele ?i formule matematice,Névtelen,Hálószóba/ 5-ik szekrény/ elso polc hátul/ elso könyv
Románia részvétele a nemzetközi gazdasági életben,Vorzsák Álmos,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 10-ik könyv
Béni levelei,Bartha Zoltán,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 11-ik könyv
A magyar elbeszélo költészet remekeibol,Veress Dániel,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 12-ik könyv
Vendégek a világurbol?,Névtelen,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 13-ik könyv
Lárhatatlan ember,Gárdonyi Géza,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 14-ik könyv
Válogatott munkái,Zrinyi Miklós,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 15-ik könyv
Un plan mondial pentru ocuparea for?ei de munca,Angelos Angelopoulos,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 16-ik könyv
Mic dic?ionar al economiei de pia?a,Gheorghe Gorincu,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 17-ik könyv
Chimia moderna accesibila tuturor vol. 1,Dumitru Ceau?escu,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 18-ik könyv
Chimia moderna accesibila tutoror vol. 2,Dumitru Ceau?escu,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 19-ik könyv
Pe carari de munte,Névtelen,Hálószóba/ 5-ik szekrény/ elso polc hátul/ 2-ik könyv
