Cim,Szerzo,Megjegyzes
Százlábú kaland,Balogh József,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 6-dik könyv
Murphy magyar törvényei,J. Z. Elky,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 7-dik könyv
Nehéz kamasznak lenni,Marton Lili,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 8-dik könyv
Jutka a nagyvilágban,Marton Lili,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 9-dik könyv
Elnémult harangok,Rákosi Viktor,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 12-dik könyv
A székely geszta,Orbán Dezso,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 2-dik könyv
A CIA titkos katonai akciói,Torrent del Bosque,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 5-dik könyv
Tengeri farkas,Jack London,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 6-dik könyv
London,National Geography,Gyerekszoba/ 2-es szekrény/ 2-es polc/ 9-dik könyv
Várjuk a Szentatyát,Szántó Konrád,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 15-dik könyv
A család orvosa,Brit Orvosi Társaság,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 10-dik könyv
Fiatalok kérdései,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 11-dik könyv
Változó helyek árnyai,Bortnyik György,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 11-dik könyv
Az ég felé...,Gubcsi Lajos,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 12-dik könyv
Peter Jecza (Monografie),Constantin Ionescu Prut,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 13-dik könyv
Helyesírási kéziszótár,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 14-dik könyv
Idegen szavak szótára,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 15-dik könyv
Kis magyar nyelvtankönyv,Nagy Kálmán,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 16-dik könyv
A magyar helyesírás szabályai,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/17-dik könyv
József Attila verselemzések,Fenyves Marcell,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 18-dik könyv
Petofi Sándor verselemzések,Fried István,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 19-dik könyv
A korona (Regnum Marianum),Dr. Molnárfi Tibor,Gyerekszoba/ 2-es szekrény/ 3-as polc/ elso és 2-dik könyv
Lecturile copileriei clasa 8-a,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 20-dik könyv
Kötelezok röviden 1-4,Névtelen,Gyerekszoba/ 1-es szekrény/ 1-es polc/ 21-tol 24-dik könyvig
Sápadt emberek,Ady Endre,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 22-dik könyv
Magyar-román szótár,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 23-dik könyv
Nuvele,Ioan Slavici,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 25-dik könyv
Irodalom 5-6-7,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 26-tól 29-dik-dik könyvig
"""Gyalu, a spíler""",Farkas Wellmann Endre,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 3-dik könyv
Irodalom a tízenhároméveseknek,Alföldy,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 30-dik könyv
Ábécéskönyv,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 31-dik könyv
Irodalom 5. és 6. osztly számára,Névtelen,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 32 és 33-dik könyv
